timestamp,condition_id,market_name,price,current_price,volume_24hr,liquidity
2025-07-21T11:01:35.282275,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-07-22T11:01:35.282284,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-07-23T11:01:35.282286,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.035641376,0.0005,4705235.762483015,677015.09889
2025-07-24T11:01:35.282288,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-07-25T11:01:35.282289,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.07258345,0.0005,4705235.762483015,677015.09889
2025-07-26T11:01:35.282291,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.0154087795,0.0005,4705235.762483015,677015.09889
2025-07-27T11:01:35.282292,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-07-28T11:01:35.282294,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-07-29T11:01:35.282296,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.010674479,0.0005,4705235.762483015,677015.09889
2025-07-30T11:01:35.282298,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.031728834,0.0005,4705235.762483015,677015.09889
2025-07-31T11:01:35.282299,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.07880715,0.0005,4705235.762483015,677015.09889
2025-08-01T11:01:35.282301,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.0710829,0.0005,4705235.762483015,677015.09889
2025-08-02T11:01:35.282302,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.040145013,0.0005,4705235.762483015,677015.09889
2025-08-03T11:01:35.282304,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-04T11:01:35.282305,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-05T11:01:35.282306,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.057264168,0.0005,4705235.762483015,677015.09889
2025-08-06T11:01:35.282308,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.08127929,0.0005,4705235.762483015,677015.09889
2025-08-07T11:01:35.282309,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.0922264,0.0005,4705235.762483015,677015.09889
2025-08-08T11:01:35.282311,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.1069426,0.0005,4705235.762483015,677015.09889
2025-08-09T11:01:35.282312,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.10232346,0.0005,4705235.762483015,677015.09889
2025-08-10T11:01:35.282313,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.094069704,0.0005,4705235.762483015,677015.09889
2025-08-11T11:01:35.282315,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.013738272,0.0005,4705235.762483015,677015.09889
2025-08-12T11:01:35.282316,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.029805224,0.0005,4705235.762483015,677015.09889
2025-08-13T11:01:35.282318,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.12298969,0.0005,4705235.762483015,677015.09889
2025-08-14T11:01:35.282319,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.052797083,0.0005,4705235.762483015,677015.09889
2025-08-15T11:01:35.282321,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-16T11:01:35.282322,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-17T11:01:35.282323,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.017406477,0.0005,4705235.762483015,677015.09889
2025-08-18T11:01:35.282325,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.0142559,0.0005,4705235.762483015,677015.09889
2025-08-19T11:01:35.282326,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-20T11:01:35.282327,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.06496063,0.0005,4705235.762483015,677015.09889
2025-08-21T11:01:35.282329,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.06807185,0.0005,4705235.762483015,677015.09889
2025-08-22T11:01:35.282330,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-23T11:01:35.282332,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-24T11:01:35.282333,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-25T11:01:35.282335,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-26T11:01:35.282336,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-27T11:01:35.282338,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-28T11:01:35.282339,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.025203375,0.0005,4705235.762483015,677015.09889
2025-08-29T11:01:35.282340,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.01,0.0005,4705235.762483015,677015.09889
2025-08-30T11:01:35.282342,0x833cc6faa82931969b47abd4d4a245ef8df7df8be5357e86dd7c6240911a9f14,Timberwolves vs. Pistons,0.018758649,0.0005,4705235.762483015,677015.09889
